ID,Country,Denomination,Currency,Symbol,Year,FrontDesign,BackDesign,Designer,Quantity,,,,,,,,
Beatrix Potter - Tom Kitten,UK,50,Pence,p,2017,Elizabeth II,Beatrix Potter - Tom Kitten,Emma Noble,1,,,,,,,,
Beatrix Potter - The Tale of Peter Rabbit,UK,50,Pence,p,2017,Elizabeth II,Beatrix Potter - The Tale of Peter Rabbit,Emma Noble,5,,,,,,,,
Beatrix Potter - Mrs. Tiggy-Winkle,UK,50,Pence,p,2016,Elizabeth II,Beatrix Potter - Mrs. Tiggy-Winkle,Emma Noble,4,,,,,,,,
Beatrix Potter - Peter Rabbit 2016,UK,50,Pence,p,2016,Elizabeth II,Beatrix Potter - Peter Rabbit 2016,Emma Noble,1,,,,,,,,
Honeybees,UK,1,Pound,£,2023,Charles III,"Two Honeybees to right, denomination over royal cypher design at left.",Martin Jennings,4,,,,,,,,
Nations of the Crown,UK,1,Pound,£,2017,Elizabeth II,Nations of the Crown,David Pearce,2,,,,,,,,
"Leek and royal diadem, representing Wales.",UK,1,Pound,£,1987,Elizabeth II,"Leek and royal diadem, representing Wales.",Leslie Durbin,2,,,,,,,,
"Royal Arms, representing the United Kingdom.",UK,1,Pound,£,1983,Elizabeth II,"Royal Arms, representing the United Kingdom.",Eric Sewell,1,,,,,,,,
"Three Lions passant guardant, representing England.",UK,1,Pound,£,2002,Elizabeth II,"Three Lions passant guardant, representing England.",Norman Sillman,1,,,,,,,,
"Dragon passant, representing Wales.",UK,1,Pound,£,1995,Elizabeth II,"Dragon passant, representing Wales.",Norman Sillman,1,,,,,,,,
"Oak Tree and royal diadem, representing England.",UK,1,Pound,£,1991,Elizabeth II,"Oak Tree and royal diadem, representing England.",Leslie Durbin,1,,,,,,,,
The 100th Anniversary of the First World War - The Army,UK,2,Pound,£,2016,Elizabeth II,The 100th Anniversary of the First World War - The Army,Tim Sharp,6,,,,,,,,
The 60th Anniversary of the End of the Second World War,UK,2,Pound,£,1945 - 2005,Elizabeth II,The 60th Anniversary of the End of the Second World War,Bob Elderton,2,,,,,,,,
The Shakespeare Tragedies,UK,2,Pound,£,2016,Elizabeth II,The Shakespeare Tragedies, John Bergdahl,3,,,,,,,,
The Shakespeare Comedies,UK,2,Pound,£,2016,Elizabeth II,The Shakespeare Comedies, John Bergdahl,1,,,,,,,,
The Shakespeare Histories,UK,2,Pound,£,2016,Elizabeth II,The Shakespeare Histories, John Bergdahl,2,,,,,,,,
The 100th Anniversary of Marconi's 1st Wireless Transmission across the Atlantic,UK,2,Pound,£,2001,Elizabeth II,The 100th Anniversary of Marconi's 1st Wireless Transmission across the Atlantic,Robert Evans,1,,,,,,,,
The Tercentenary of the Act of Union between England and Scotland,UK,2,Pound,£,2007,Elizabeth II,The Tercentenary of the Act of Union between England and Scotland,Yvonne Holton,1,,,,,,,,
The 200th Anniversary of the Birth of Isambard Kingdom Brunel,UK,2,Pound,£,2006,Elizabeth II,The 200th Anniversary of the Birth of Isambard Kingdom Brunel,Robert Evans,1,,,,,,,,
The History of Technological Achievement,UK,2,Pound,£,1998,Elizabeth II,The History of Technological Achievement,Bruce Rushin,1,,,,,,,,
The 500th Anniversary of the Founding of Trinity House,UK,2,Pound,£,2014,Elizabeth II,The 500th Anniversary of the Founding of Trinity House,Joe Whitlock Blundell with David Eccles,1,,,,,,,,
Transport Museum - Gold,UK,,,,,Transport Museum - Gold,,Transport Museum,1,,,,,,,,
Transport Museum - Silver,UK,,,,,Transport Museum - Silver,,Transport Museum,1,,,,,,,,
2 Spanish Euro,Spain,2,Euro,€,2002,Bust of King Juan Carlos I facing left and the twelve stars of Europe of which four are bound by a band.,First map of Europe symbolizing the gathering of the fifteen nations of the European Union and twelve stars (six above and six below map).,Luis José Díaz Salas | Luc Luycx,1,,,,,,,,
2 Spanish Euro - Park Guell,Spain,2,Euro,€,2014,In the foreground a lizard sculpture which is the Park Güell emblem and was designed by the architect Antoni Gaudí. As background a detail of one of the pavilions situated at the Park Güell entrance. The coin’s outer ring depicts the twelve stars of the European flag.,Map of Europe symbolizing the gathering of the fifteen nations of the European Union and twelve stars (six above and six below map).,Alfonso Morales Muñoz | Luc Luycx,1,,,,,,,,
2 German Euro,Germany,2,Euro,€,2010,"The eagle, the traditional symbol of German sovereignty, is surrounded with the twelve stars of Europe.","A map, next to the face value, shows the gathering of the fifteen states of the European Union","Heinz Hoyer, Sneschana Russewa-Hoyer |  Luc Luycx",1,,,,,,,,
2 Italian Euro,Italy,2,Euro,€,2003,"A portrait drawn by Raffaello of Dante Alighieri, housed in the Pope Julius II Wing of the Vatican City Palace, is encircled by the twelve stars of Europe. Date, monogram of the Republic and mintmark are at left of the portrait. Author's initials are below the neck.","A map, next to the face value, shows the 15 states of the European Union",Maria Carmela Colaneri |  Luc Luycx,1,,,,,,,,
2 French Euro,France,2,Euro,€,2001,"A tree, symbolising life, continuity and growth, is contained in a hexagon and encircled by the French motto ""LIBERTÉ ÉGALITÉ FRATERNITÉ"" (liberty, equality, fraternity) and the twelve stars of Europe","A map, next to the face value, shows the fifteen states of the European Union",Joaquin Jimenez |  Luc Luycx,1,,,,,,,,
1 German Euro,Germany,1,Euro,€,2002,"The eagle, the traditional symbol of German sovereignty, with the twelve stars of Europe in the outer ring","A map, next to the face value, shows the gathering of the fifteen states of the European Union","Heinz Hoyer, Sneschana Russewa-Hoyer |  Luc Luycx",2,,,,,,,,
1 Spanish Euro,Spain,1,Euro,€,2002,Bust of King Juan Carlos I facing left and the twelve stars of Europe of which four are bound by a band.,First map of Europe symbolizing the gathering of the fifteen nations of the European Union and twelve stars (six above and six below map).,Luis José Díaz Salas | Luc Luycx,3,,,,,,,,
1 Italian Euro,Italy,1,Euro,€,2002,"A reproduction of the Vitruvian Man, a world renowned drawing created by Leonardo da Vinci around the year 1492, is encircled by the twelve stars of Europe","A map, next to the face value, shows the European continent without borders",Laura Cretara | Luc Luycx,2,,,,,,,,
50 Belgian Euro Cent,Belgium,50,Euro Cent,€,1999,"The portrait in left profile of King Albert II is encircled by the twelve stars of Europe, among which is situated his monogram: a capital ""A"" with the Roman numeral ""II"" underneath a crown","A map, next to the face value, symbolizes the gathering of the fifteen nations of the European Union",Jan Alfons Keustermans | Luc Luycx,2,,,,,,,,
50 Netherlands Euro Cent,Netherlands,50,Euro Cent,€,2002,"An uncluttered portrait of Queen Beatrix is encircled by the twelve stars of Europe and the legend ""BEATRIX KONINGIN DER NEDERLANDEN"".","A map, next to the face value, symbolizes the gathering of the fifteen nations of the European Union.",Bruno Ninaber van Eyben | Luc Luycx,1,,,,,,,,
50 Vatican City Euro Cent,Vatican City,50,Euro Cent,€,2014,"The frontal portrait of His Holiness Pope Franciscus is encircled by the inscription ""CITTA' DEL VATICANO"" (Vatican City) and the twelve stars of Europe.","A map, next to the face value, shows the European continent without borders.","Orietta Rossi, Luciana De Simoni | Luc Luycx",1,,,,,,,,
50 German Euro Cent,Germany,50,Euro Cent,€,2002,"The Brandenburg Gate, symbol of the division of Germany and its subsequent unification, is surrounded with the twelve stars of Europe.","A map, next to the face value, symbolizes the gathering of the fifteen nations of the European Union",Reinhart Heinsdorff | Luc Luycx,1,,,,,,,,
50 Italian Euro Cent,Italy,50,Euro Cent,€,2002,"The Equestrian Statue of Marcus Aurelius, resettled by Michelangelo on the Piazza del Campidoglio, which has rosaceous paving, encircled by the twelve stars of Europe. The mint mark is at upper left of statue and Italian Republic monogram on the right. Date is below.","On the left, next to the face value, a map of the Europe with the twelve vertical stars symbolizes the gathering of the nations of the European Union. The map is not geographical since there is space between the borders of each nations of the Europe",Roberto Mauri | Luc Luycx,1,,,,,,,,
50 Spanish Euro Cent,Spain,50,Euro Cent,€,2002,"Head of the Spanish writer Miguel de Cervantes front-facing, a quill and the twelve stars of Europe of whom four are bound by a band.",First map of Europe symbolizing the gathering of the fifteen nations of the European Union and twelve stars (six above and six below map).,Begoña Castellanos García,1,,,,,,,,
20 Belgian Euro Cent,Belgium,20,Euro Cent,€,2002,"The portrait in left profile of King Albert II is encircled by the twelve stars of Europe, among which is situated his monogram: a capital ""A"" with the Roman numeral ""II"" underneath a crown","A map, next to the face value, symbolizes the gathering of the fifteen nations of the European Union",Jan Alfons Keustermans | Luc Luycx,2,,,,,,,,
20 Portugese Euro Cent,Portugal,20,Euro Cent,€,2002,"The second royal seal of 1142 of Afonso Henriques, the first king of Portugal, is encircled by alternately the country's seven castles and the five coats of arms, which appear an the Portuguese flag, and the letters of the word ""PORTUGAL"", themselves encircled by the twelve stars of Europe","A map, next to the face value, symbolizes the gathering of the fifteen nations of the European Union",V. M. F. dos Santos | Luc Luycx,1,,,,,,,,
20 Finnish Euro Cent,Finland,20,Euro Cent,€,2001,The Finnish heraldic lion is encircled by the twelve stars of Europe,"A map, next to the face value, symbolizes the gathering of the fifteen nations of the European Union",Heikki Aulis Häiväoja | Luc Luycx,1,,,,,,,,
20 Italian Euro Cent,Italy,20,Euro Cent,€,2002,"Boccioni's sculpture ""Unique Forms in the Continuity of Space"", encircled by the twelve stars of Europe. On the left the monogram of Italian Republic. The mint mark and the date are at right. Author's initials are below the sculpture.","On the left, next to the face value, a map of the Europe with the twelve vertical stars symbolizes the gathering of the nations of the European Union. The map is not geographical since there is space between the borders of each nations of the Europe",Maria Angela Cassol | Luc Luycx,2,,,,,,,,
